"Index","Beans","Meal","Oil"
2017-09-05,968.5,308,35.44
2017-09-06,971,308.7,35.56
2017-09-07,968.75,307.2,35.43
2017-09-08,962,305.2,34.94
2017-09-11,960,303.6,35.15
2017-09-12,950.5,300,35.19
2017-09-13,960.5,305.4,35.09
2017-09-14,976,313.1,35.08
2017-09-15,968.75,311.4,34.81
2017-09-18,967.75,312.6,34.43
2017-09-19,965.5,308.7,34.76
2017-09-20,970,310.1,34.91
2017-09-21,970.75,312.9,34.34
2017-09-22,984.25,319,34.22
2017-09-25,971.25,314.3,34.01
2017-09-26,963.5,313.1,33.45
2017-09-27,965.5,313.3,33.22
2017-09-28,959.5,311.5,32.82
2017-09-29,968.25,315.8,32.82
2017-10-02,957.25,313.6,32.52
2017-10-03,955.25,311.5,32.75
2017-10-04,958.25,311,33.23
2017-10-05,968.25,316.9,33
2017-10-06,972.25,319.2,32.95
2017-10-09,966.75,315.5,33.26
2017-10-10,966,316.2,33.11
2017-10-11,965.25,314.9,33.15
2017-10-12,992,326.3,33.28
2017-10-13,1000.25,328.6,33.69
2017-10-16,991,324.5,33.59
2017-10-17,984.75,321.6,33.59
2017-10-18,984.25,321.8,33.41
2017-10-19,986.5,321.4,33.83
2017-10-20,978.75,317.1,34.16
2017-10-23,980.75,315.9,34.63
2017-10-24,975.5,314.2,34.34
2017-10-25,975.5,315.4,34.26
2017-10-26,971.25,312.1,34.5
2017-10-27,975.25,312.1,34.84
2017-10-30,972.75,312.3,34.68
2017-10-31,973.75,311.8,34.75
2017-11-01,981,313.6,34.9
2017-11-02,989,317.4,34.86
2017-11-03,977,313.9,34.42
